Id,Toponyms,Type,Period,StartDate,EndDate,Longitude,Latitude,LocQual,SizeHa,SizeQual,Source,Source_id
1,Padiglione,settlement,Iron Age,-800,-700,12.63932358,41.5153164,A,0.2,E,"Attema et al. 2011, p. 229",15114
1,Padiglione,settlement,Republican Period,-100,-30,12.63681666,41.51611052,A,0.2,E,"Attema et al. 2011, p. 229",15114
1,Padiglione,settlement,Imperial Period,-30,400,12.63679286,41.51611052,A,0.2,E,"Attema et al. 2011, p. 229",15114
1,Padiglione,settlement,Late Antique/Early Medieval,400,500,12.63681666,41.51611052,A,0.2,E,"Attema et al. 2011, p. 229",15114
2,Astura,settlement,Iron Age,-700,-600,12.76931272,41.41772032,A,34,D,"Attema et al. 2011, p. 186; Picarreta 1977, p.21",11201
2,Astura,settlement,Post-Archaic Period,-500,-350,12.76931272,41.41772032,A,34,D,"Attema et al. 2011, p. 186; Picarreta 1977, p.21",11201
2,Astura,settlement,Archaic Period,-600,-500,12.76931272,41.41772032,A,34,D,"Attema et al. 2011, p. 186; Picarreta 1977, p.21",11201
2,Astura,settlement,Republican Period,-250,-30,12.76931272,41.41772032,A,34,D,"Attema et al. 2011, p. 186; Picarreta 1977, p.21",11201
2,Astura,settlement,Imperial Period,-30,400,12.76931272,41.41772032,A,34,D,"Attema et al. 2011, p. 186; Picarreta 1977, p.21",11201
2,Astura,settlement,Late Antique/Early Medieval,400,700,12.76931272,41.41772032,A,34,D,"Attema et al. 2011, p. 186; Picarreta 1977, p.21",11201
2,Astura,settlement,Medieval,700,1200,12.76931272,41.41772032,A,34,D,"Attema et al. 2011, p. 186; Picarreta 1977, p.21",11201
3,Torre Astura,settlement,Middle Bronze Age,-1700,-1350,12.7652786,41.40966831,A,4,D,"Attema et al. 2011, p. 186",11202
3,Torre Astura,settlement,Archaic Period,-600,-500,12.7652786,41.40966831,A,4,D,"Attema et al. 2011, p. 186",11202
3,Torre Astura,settlement,Republican Period,-350,-30,12.7652786,41.40966831,A,4,D,"Attema et al. 2011, p. 186",11202
3,Torre Astura,settlement,Imperial Period,-30,400,12.7652786,41.40966831,A,4,D,"Attema et al. 2011, p. 186",11202
3,Torre Astura,settlement,Late Antique/Early Medieval,400,700,12.7652786,41.40966831,A,4,D,"Attema et al. 2011, p. 186",11202
3,Torre Astura,settlement,Medieval,700,1200,12.7652786,41.40966831,A,4,D,"Attema et al. 2011, p. 186",11202
7,La Banca,settlement,Middle Bronze Age,-1700,-1350,12.74861434,41.41992242,A,0.3,F,"Attema et al. 2011, p. 188",11206
4,Pineta di Torre Astura,settlement,Roman,-350,400,12.76266774,41.4127462,A,0.5,F,"Attema et al. 2011, p. 187",11203
5,Pineta di Torre Astura,settlement,Republican Period,-250,-30,12.75282944,41.41800858,A,0.5,F,"Attema et al. 2011, p. 187",11204
5,Pineta di Torre Astura,settlement,Imperial Period,-30,400,12.75282944,41.41798954,A,0.5,F,"Attema et al. 2011, p. 187",11204
6,La Banca,settlement,Republican Period,-100,-30,12.74987891,41.41840833,A,0.5,F,"Attema et al. 2011, p. 187",11205
6,La Banca,settlement,Imperial Period,-30,100,12.74987891,41.41840833,A,0.5,F,"Attema et al. 2011, p. 187",11205
8,Saracca,settlement,Republican Period,-100,-30,12.74553838,41.42159849,A,0.5,F,"Attema et al. 2011, p. 188",11207
8,Saracca,settlement,Imperial Period,-30,400,12.74553838,41.42159849,A,0.5,F,"Attema et al. 2011, p. 188",11207
9,Saracca,settlement,Imperial Period,-30,250,12.7413409,41.42486034,A,0.5,F,"Attema et al. 2011, p. 188",11208
9,Saracca,settlement,Imperial Period,250,400,12.7413409,41.42486034,A,0.5,F,"Attema et al. 2011, p. 188",11208
10,Saracca,settlement,Late Bronze Age,-1350,-1020,12.73867703,41.42700789,A,0.1,F,"Attema et al. 2011, p. 189",11209
10,Saracca,settlement,Republican Period,-100,-30,12.73867703,41.42700789,A,0.1,F,"Attema et al. 2011, p. 189",11209
10,Saracca,settlement,Late Bronze Age,-30,250,12.73867703,41.42700789,A,0.1,F,"Attema et al. 2011, p. 189",11209
11,Pelliccione,settlement,Roman,-350,400,12.73425807,41.42939208,A,0.1,F,"Attema et al. 2011, p. 190",11212
12,Pelliccione,settlement,Middle Bronze Age,-1700,-1350,12.73300885,41.43005253,A,0.01,F,"Attema et al. 2011, p. 190",11213
12,Pelliccione,settlement,Late Bronze Age,-1350,-1020,12.73300885,41.43005253,A,0.01,F,"Attema et al. 2011, p. 190",11213
12,Pelliccione,settlement,Roman Period,-350,400,12.73300885,41.43005253,A,0.01,F,"Attema et al. 2011, p. 190",11213
13,Pelliccione,settlement,Republican Period,-100,-30,12.73187387,41.43084164,A,0.3,F,"Attema et al. 2011, p. 190",11214
13,Pelliccione,settlement,Imperial Period,-30,100,12.73187387,41.43084164,A,0.3,F,"Attema et al. 2011, p. 190",11214
14,Le Grottace,settlement,Late Bronze Age,-1350,-1020,12.72939889,41.43219456,A,0.5,F,"Attema et al. 2011, p. 191",11215
14,Le Grottace,settlement,Late Bronze Age,-250,-30,12.72939889,41.43219456,A,0.5,F,"Attema et al. 2011, p. 191",11215
14,Le Grottace,settlement,Late Bronze Age,-30,250,12.72939889,41.43219456,A,0.5,F,"Attema et al. 2011, p. 191",11215
15,Pelliccione,settlement,Republican Period,-250,-30,12.73104892,41.43399682,A,0.3,F,"Attema et al. 2011, p. 191",11217
16,Pelliccione,settlement,Roman,-350,400,12.72633565,41.43624707,A,0.3,F,"Attema et al. 2011, p. 192",11219
17,Finocchierelle,settlement,Roman,-350,400,12.7248041,41.43946352,A,0.1,F,"Attema et al. 2011, p. 192",11220
18,Vallone Carnevale,settlement,Roman,-350,400,12.72230566,41.44017736,A,0.1,F,"Attema et al. 2011, p. 193",11221
19,Finocchierelle,settlement,Roman,-350,-30,12.72059245,41.43946352,A,0.1,F,"Attema et al. 2011, p. 193",11222
20,Finocchierelle,settlement,Roman,-350,400,12.71926471,41.44203333,A,0.1,F,"Attema et al. 2011, p. 193",11223
21,Finocchierelle,settlement,Roman,-350,400,12.71819395,41.44179063,A,0.1,F,"Attema et al. 2011, p. 193",11224
22,Finocchierelle,settlement,Roman,-350,400,12.71648074,41.44230459,A,0.1,F,"Attema et al. 2011, p. 194",11225
23,Finocchierelle,settlement,Roman,-350,400,12.71556703,41.44281856,A,0.1,F,"Attema et al. 2011, p. 194",11226
24,Finocchierelle,settlement,Roman,-350,400,12.71231193,41.44466026,A,0.4,F,"Attema et al. 2011, p. 194",11227
25,Finocchierelle,settlement,Roman,-350,400,12.71102702,41.44460315,A,0.1,F,"Attema et al. 2011, p. 194",11228
26,Finocchierelle,settlement,Roman,-350,400,12.70926581,41.44548575,A,0.1,F,"Attema et al. 2011, p. 195",11229
27,Finocchierelle,settlement,Roman,-350,400,12.72136259,41.44283694,A,0.1,F,"Attema et al. 2011, p. 195",11230
28,Finocchierelle,settlement,Roman,-350,400,12.71645495,41.44435384,A,0.1,F,"Attema et al. 2011, p. 195",11231
29,Finocchierelle,settlement,Roman,-350,400,12.71987542,41.44283694,A,0.1,F,"Attema et al. 2011, p. 195",11232
30,Finocchierelle,settlement,Roman,-350,400,12.71330137,41.44681825,A,0.1,F,"Attema et al. 2011, p. 196",11233
31,Finocchierelle,settlement,Roman,-350,400,12.71663262,41.44607586,A,0.1,F,"Attema et al. 2011, p. 196",11234
32,Finocchierelle,settlement,Roman,-350,400,12.72028747,41.44485757,A,0.1,F,"Attema et al. 2011, p. 196",11235
33,Finocchierelle,settlement,Roman,-350,400,12.7202494,41.44630429,A,0.1,F,"Attema et al. 2011, p. 196",11236
34,Finocchierelle,settlement,Roman,-350,400,12.71686105,41.44678018,A,0.1,F,"Attema et al. 2011, p. 197",11237
35,Finocchierelle,settlement,Roman,-350,400,12.71507169,41.44820785,A,0.1,F,"Attema et al. 2011, p. 197",11238
36,Finocchierelle,settlement,Roman,-350,400,12.71415798,41.45096803,A,0.1,F,"Attema et al. 2011, p. 197",11239
37,Finocchierelle,settlement,Roman,-350,400,12.7197164,41.44837918,A,0.1,F,"Attema et al. 2011, p. 197",11240
38,Finocchierelle,settlement,Roman,-350,400,12.72177226,41.44769389,A,0.1,F,"Attema et al. 2011, p. 198",11241
39,Finocchierelle,settlement,Roman,-350,400,12.72333318,41.44712282,A,0.1,F,"Attema et al. 2011, p. 198",11242
40,Selvapiana,settlement,Roman,-350,400,12.72380907,41.44896928,A,0.1,F,"Attema et al. 2011, p. 198",11243
41,Selvapiana,settlement,Roman,-350,400,12.72011615,41.44982589,A,0.1,F,"Attema et al. 2011, p. 198",11244
42,Selvapiana,settlement,Roman,-350,400,12.71720369,41.45197692,A,0.1,F,"Attema et al. 2011, p. 199",11245
43,Selvapiana,settlement,Roman,-350,400,12.7167278,41.45397567,A,0.1,F,"Attema et al. 2011, p. 199",11246
44,Selvapiana,settlement,Roman,-350,400,12.71884076,41.45281449,A,0.1,F,"Attema et al. 2011, p. 199",11247
45,Selvapiana,settlement,Roman,-350,400,12.71975201,41.45133018,A,0.1,F,"Attema et al. 2011, p. 199",11248
46,Selvapiana,settlement,Roman,-350,400,12.72154137,41.45112079,A,0.1,F,"Attema et al. 2011, p. 200",11249
47,Selvapiana,settlement,Roman,-350,400,12.72439672,41.44994057,A,0.1,F,"Attema et al. 2011, p. 200",11250
48,Selvapiana,settlement,Roman,-350,400,12.72550079,41.45034032,A,0.1,F,"Attema et al. 2011, p. 200",11251
49,Selvapiana,settlement,Roman,-350,400,12.72424444,41.45330989,A,0.1,F,"Attema et al. 2011, p. 201",11252
50,Valle Foglino,settlement,Republican Period,-350,-30,12.70380733,41.4485505,A,0.5,F,"Attema et al. 2011, p. 201",11254
51,Valle Foglino,settlement,Roman,-350,400,12.70647232,41.44982589,A,0.1,F,"Attema et al. 2011, p. 201",11256
58,Spinacceto,settlement,Archaic Period,-600,-500,12.74069131,41.46635994,A,0.4,E,"Attema et al. 2011, p. 204",11277
58,Spinacceto,settlement,Post-Archaic Period,-500,-350,12.74069131,41.46635994,A,0.4,E,"Attema et al. 2011, p. 204",11277
58,Spinacceto,settlement,Republican Period,-250,-30,12.74069131,41.46635994,A,0.4,E,"Attema et al. 2011, p. 204",11277
58,Spinacceto,settlement,Imperial Period,-30,250,12.74069131,41.46635994,A,0.4,E,"Attema et al. 2011, p. 204",11277
62,Orti Maoni / Intossicata,settlement,Archaic Period,-600,-500,12.74326707,41.4780431,A,0.7,E,"Attema et al. 2011, p. 205",11281
62,Orti Maoni / Intossicata,settlement,Post-Archaic Period,-500,-350,12.74326707,41.4780431,A,0.7,E,"Attema et al. 2011, p. 205",11281
62,Orti Maoni / Intossicata,settlement,Republican Period,-250,-30,12.74326707,41.4780431,A,0.7,E,"Attema et al. 2011, p. 205",11281
62,Orti Maoni / Intossicata,settlement,Imperial Period,-30,250,12.74326707,41.4780431,A,0.7,E,"Attema et al. 2011, p. 205",11281
52,Valle Foglino,settlement,Roman,-350,400,12.70661509,41.45264555,A,0.1,F,"Attema et al. 2011, p. 202",11257
53,Pantano Potassa,settlement,Roman,-350,400,12.70857814,41.45849902,A,0.1,F,"Attema et al. 2011, p. 202",11258
54,Pantano Potassa,settlement,Roman,-350,400,12.70882799,41.46096177,A,0.1,F,"Attema et al. 2011, p. 202",11259
55,Riserva del Nespolo,settlement,Roman,-350,400,12.76597596,41.42428441,A,0.1,F,"Attema et al. 2011, p. 203",11262
56,Riserva del Nespolo,settlement,Roman,-350,400,12.76591648,41.42636644,A,0.1,F,"Attema et al. 2011, p. 203",11263
57,Riserva Mattone,settlement,Roman,-350,400,12.76080064,41.43582479,A,0.1,F,"Attema et al. 2011, p. 203",11264
59,Spinacceto,settlement,Roman,-350,400,12.74279118,41.46762106,A,0.1,F,"Attema et al. 2011, p. 204",11278
60,Pantano del'Intossicata,settlement,Roman,-350,400,12.74440921,41.46976257,A,0.1,F,"Attema et al. 2011, p. 204",11279
61,Orti Maoni / Intossicata,settlement,Archaic Period,-600,-500,12.74550377,41.47290346,A,0.1,F,"Attema et al. 2011, p. 204",11280
61,Orti Maoni / Intossicata,settlement,Republican,-350,-30,12.74550377,41.47290346,A,0.1,F,"Attema et al. 2011, p. 204",11280
63,unknown,settlement,Roman,-350,400,12.73052506,41.48086276,A,0.1,F,"Attema et al. 2011, p. 205",11282
64,Piscina della Farna,settlement,Roman,-350,400,12.72756263,41.48129106,A,0.1,F,"Attema et al. 2011, p. 205",11283
